Gesamtgewicht_Kg,Volumen_cbm,Warenwert_in_EUR,Gefahrgut,Startort,Destination,Termin_Destination,Entfernung_in_Km,LCL_LKW,FCL_LKW,Flugzeug,Seeeschiff
1697,4.356,19760,0,1,6,0,2000,0,0,0,1
15203.5,8.132,155095,0,2,7,1,1200,0,1,0,0
13611,6.769,139590,0,1,8,0,850,0,1,0,0
15176.5,7.584,154480,0,3,9,0,550,0,1,0,0
1639,4.082,19410,0,2,9,0,400,1,0,0,0
12111,6.445,124380,0,5,8,0,650,0,1,0,0
4675.5,5.052,50130,1,4,9,1,260,0,1,0,0
4651,4.431,48640,0,3,8,0,1100,1,0,0,0
10700.5,7.604,110930,0,5,9,1,450,0,1,0,0
164.5,2.186,3880,0,4,10,1,12000,0,0,1,0
164,3.132,5690,1,5,10,1,11400,0,0,1,0
12236,8.077,126800,1,4,8,1,800,0,1,0,0
3221.5,5.556,37000,0,1,7,1,1650,0,0,1,0
10564,5.029,107125,1,4,9,1,260,0,1,0,0
242,3.625,6685,1,1,8,1,850,0,1,0,0
15159.5,7.966,153780,0,3,6,1,2200,0,0,1,0
7594.5,4.687,78685,0,1,10,0,11350,0,0,0,1
4607.5,4.21,49800,1,1,10,0,11350,0,0,0,1
9200.5,6.039,94630,1,3,9,0,550,0,1,0,0
9176.5,6.316,96035,1,3,6,1,2200,0,0,1,0
13635.5,7.036,139025,1,5,8,0,650,0,1,0,0
13642.5,7.124,138955,0,5,6,0,2200,0,0,0,1
1677,4.528,20200,0,1,8,0,850,1,0,0,0
4618,4.136,49250,1,4,10,0,12000,0,0,0,1
13656.5,8.341,141000,0,5,9,0,450,0,1,0,0
12137.5,6.641,124535,0,3,10,1,12000,0,0,1,0
155,3.456,5725,1,4,6,0,2500,0,0,0,1
10623,5.914,109650,0,1,7,1,1650,0,0,1,0
4640,4.173,50090,0,4,9,0,260,1,0,0,0
136.5,2.47,4685,0,4,8,0,800,1,0,0,0
6221.5,5.535,65585,1,1,10,0,11350,0,0,0,1
