1,2,3,4,5,6,7,8,9,10,Europalette,Gitterbox,Karton_groß,Karton_klein
70,20,50,90,20,40,40,10,100,10,2,1,9,13
60,30,10,0,100,30,50,40,100,100,6,1,10,6
50,100,70,50,50,10,0,90,20,90,5,0,11,22
20,80,20,60,10,20,70,50,90,100,6,0,12,12
80,40,30,50,80,40,40,0,30,10,1,1,16,6
0,60,10,0,70,70,60,80,0,80,4,1,11,10
60,0,30,90,20,70,80,30,50,30,2,1,15,11
0,100,20,0,80,10,0,40,90,30,3,1,3,8
20,60,60,30,80,20,40,90,90,70,5,1,10,22
0,0,40,0,60,70,0,50,90,0,1,0,7,13
60,80,10,10,70,60,80,100,30,0,0,1,15,11
90,20,100,80,90,100,30,10,80,80,5,1,14,21
60,80,0,90,100,50,50,90,60,20,2,2,12,8
20,90,0,10,0,100,0,50,0,70,4,0,8,7
30,50,40,60,60,90,40,100,100,0,1,0,17,20
100,60,0,40,0,70,50,30,70,100,6,0,17,3
0,70,70,60,50,40,10,20,10,50,3,0,11,16
50,80,90,40,60,0,90,20,0,30,2,0,14,20
30,60,40,50,10,70,90,0,100,60,4,0,15,12
20,70,10,30,100,90,40,100,30,60,3,1,17,13
20,70,40,20,20,100,30,60,40,90,5,0,14,18
60,90,40,60,20,70,20,20,50,90,5,0,16,12
60,80,20,70,80,50,60,0,50,10,1,1,20,4
20,40,0,30,60,100,40,60,0,30,2,0,16,8
40,80,90,100,90,50,0,50,20,90,5,2,8,23
100,90,20,40,80,40,10,40,30,80,4,1,13,8
30,70,100,80,70,0,100,0,30,0,0,1,15,23
40,0,20,40,50,50,60,80,10,70,4,0,14,12
90,20,30,80,60,10,10,90,30,30,2,0,15,14
50,50,10,70,100,40,10,30,20,0,0,1,11,5
70,70,70,10,60,90,70,10,100,40,3,0,18,15
90,70,70,30,30,100,50,20,80,20,2,0,18,16
0,70,50,70,30,10,0,60,10,60,3,0,9,16
90,20,60,100,30,100,90,70,40,0,0,1,19,19
50,80,100,100,70,40,100,30,10,50,3,2,12,23
50,80,90,20,40,30,60,50,20,50,3,0,15,23
90,70,40,10,70,60,0,60,40,70,4,1,12,14
100,10,30,80,40,70,60,60,0,80,4,0,19,12
30,40,30,70,0,90,60,50,80,50,4,0,15,14
20,70,80,30,100,50,80,100,60,70,5,1,12,27
0,30,80,50,0,80,80,80,80,90,6,0,13,24
0,30,100,50,50,0,30,10,30,90,5,0,11,21
20,60,20,30,100,80,50,50,70,0,1,1,14,11
100,10,80,20,70,20,10,40,70,40,3,1,7,20
10,40,60,50,40,0,80,20,60,0,1,0,11,15
30,10,0,70,70,80,80,80,0,0,0,1,14,11
80,80,30,70,0,0,40,80,0,60,3,0,13,14
0,70,20,70,60,100,40,60,50,80,4,0,24,10
0,90,10,30,60,20,40,100,10,100,5,0,14,11
40,100,20,30,80,70,80,20,0,80,4,1,14,6
60,10,100,80,20,70,50,80,90,100,6,0,16,30
80,80,80,90,30,90,80,80,50,50,3,1,20,24
0,100,0,40,20,70,40,60,40,80,4,0,17,8
10,60,10,60,30,30,60,90,80,20,2,0,13,11
70,20,60,10,40,50,40,40,10,90,5,0,14,16
80,20,0,90,90,10,30,90,70,70,5,2,6,8
80,0,0,20,100,30,100,80,90,60,4,1,11,8
60,10,20,60,40,10,10,20,0,50,3,0,9,6
10,20,90,60,100,100,30,0,80,70,5,1,11,19
100,10,20,10,100,30,100,40,90,80,5,1,13,8
100,60,60,50,60,60,40,100,0,100,5,0,19,21
60,0,40,90,20,60,80,90,70,80,5,1,9,18
80,0,30,0,20,40,30,40,30,0,0,0,9,12
90,40,60,10,20,70,100,90,0,80,4,0,14,22
10,80,20,90,60,40,100,60,10,30,2,1,14,11
70,40,100,0,70,40,30,20,0,40,2,1,6,22
10,90,60,60,100,50,100,70,90,70,5,1,14,20
90,90,0,60,100,90,70,30,100,90,6,1,18,3
50,90,10,50,90,90,90,60,100,90,6,1,17,8
10,90,50,0,50,100,100,20,90,40,3,0,15,13
10,100,80,60,100,100,10,30,10,10,1,1,12,20
0,50,30,20,30,100,40,90,60,70,5,0,13,14
0,50,40,20,90,50,50,10,50,90,5,1,16,9
60,70,20,50,50,20,10,100,20,30,2,0,12,13
90,30,40,50,80,30,40,100,20,100,5,1,15,17
90,30,80,40,80,100,90,50,70,60,4,1,16,21
80,40,10,20,60,50,60,70,50,20,1,0,20,9
40,40,50,60,80,70,60,0,90,20,2,1,14,10
0,0,60,20,50,80,30,70,10,100,5,0,10,19
40,0,50,40,100,70,60,0,80,90,6,1,12,10
70,100,60,0,30,40,100,100,70,10,2,0,12,21
90,50,40,100,80,50,60,80,40,80,4,2,15,16
0,60,40,80,30,90,50,80,30,30,2,0,21,16
80,40,30,50,90,0,80,30,20,20,1,1,13,9
10,50,10,70,10,100,40,50,70,0,1,0,15,9
80,30,80,80,70,60,70,70,100,100,6,1,16,23
80,0,40,20,90,20,90,100,50,20,1,1,15,17
70,0,90,30,100,90,70,10,90,80,5,1,14,19
0,40,50,30,90,90,30,60,30,30,2,1,13,16
40,40,50,80,0,0,50,50,60,30,3,0,12,15
60,60,70,90,60,70,90,30,50,40,2,1,21,17
70,50,60,60,50,90,90,100,40,80,4,0,22,21
80,10,30,80,0,90,70,20,40,90,5,0,22,8
30,90,50,80,50,40,80,40,80,80,5,0,15,17
30,90,90,50,80,40,50,0,40,40,2,1,17,21
10,80,40,30,30,30,80,70,60,30,3,0,12,16
80,10,60,0,50,100,80,0,70,100,6,0,15,12
60,100,100,30,50,70,0,40,80,20,2,0,11,24
40,0,0,20,20,10,30,30,80,80,5,0,5,5
60,70,60,20,20,60,50,40,80,90,6,0,13,18
10,70,30,0,70,90,0,0,40,60,3,1,11,7
70,80,60,40,10,10,100,60,90,60,4,0,12,19
0,50,60,90,60,90,80,100,40,0,0,1,18,21
20,30,40,40,20,10,50,90,100,30,3,0,10,20
40,20,100,20,50,90,70,60,80,50,4,0,16,26
20,50,100,40,40,20,60,70,80,80,5,0,11,29
10,60,0,90,90,60,80,50,40,40,2,2,14,6
90,70,90,50,10,0,40,30,70,30,3,0,12,22
90,0,40,30,100,90,80,100,30,80,4,1,17,17
0,0,80,40,10,60,10,90,70,10,2,0,6,25
50,0,70,90,10,100,40,80,50,60,3,1,16,23
20,100,10,20,70,90,0,70,100,90,6,1,8,11
50,90,20,100,0,10,70,20,100,0,1,1,10,6
100,10,10,20,70,60,20,10,10,80,4,1,10,3
0,70,90,80,40,70,40,100,90,90,6,0,17,27
70,20,70,100,0,40,60,80,100,90,6,1,9,22
0,70,60,60,60,90,20,80,50,10,1,0,19,20
40,10,40,60,90,10,10,70,40,30,2,1,11,15
0,100,30,60,40,60,70,80,30,100,5,0,19,14
80,70,70,50,70,10,80,90,90,0,1,1,13,22
80,0,0,30,30,40,90,80,20,10,1,0,15,8
50,100,30,70,50,40,90,20,40,0,0,0,21,8
90,30,90,10,0,10,20,40,80,70,5,0,6,22
100,40,100,60,100,90,90,20,40,100,5,1,22,22
60,10,40,40,80,40,10,70,80,10,2,1,7,15
0,0,90,100,50,60,70,30,70,80,5,1,11,21
10,90,50,60,80,80,60,40,10,70,4,1,15,15
90,100,20,50,40,30,10,20,50,40,2,0,17,6
30,20,30,100,90,70,10,80,40,50,3,2,10,17
10,10,80,40,100,90,60,40,90,70,5,1,13,21
70,20,100,80,60,70,0,30,10,90,5,0,14,23
20,10,90,50,50,90,50,20,40,10,1,0,21,22
10,60,10,100,100,30,50,10,40,20,1,2,14,4
